ParentCommunity,Community,CollectionName,Handle,CollectionID,ItemCount,
Princeton Plasma Physics Laboratory,Advanced Projects,Other Projects,88435/dsp01th83m2429,3386,1,
Princeton Plasma Physics Laboratory,Advanced Projects,Socio Economic,88435/dsp01sf268746p,1305,0,
Princeton Plasma Physics Laboratory,Advanced Projects,Stellarators,88435/dsp018c97ks77b,1308,3,
Princeton Plasma Physics Laboratory,Advanced Projects,System Studies,88435/dsp014m90dx86r,1309,1,
Princeton Plasma Physics Laboratory,Computational Science,PPPL Collaborations,88435/dsp01h702q945b,3380,0,
Princeton Plasma Physics Laboratory,Engineering,Engineering Research,88435/dsp01cf95jf54t,3381,0,
Princeton Plasma Physics Laboratory,ES&H,Technical Reports,88435/dsp017p88ck628,3382,0,
Princeton Plasma Physics Laboratory,IT,PPPL Collaborations,88435/dsp013x816q68n,3383,0,
Princeton Plasma Physics Laboratory,ITER and Tokamaks,PPPL Collaborations,88435/dsp01wm117s06f,3378,3,
Princeton Plasma Physics Laboratory,Spherical Torus,MAST-U,88435/dsp01vd66w313r,3515,1,
Princeton Plasma Physics Laboratory,Spherical Torus,NSTX,88435/dsp018p58pg29j,1282,33,
Princeton Plasma Physics Laboratory,Spherical Torus,NSTX-U,88435/dsp011v53k0334,1304,70,
Princeton Plasma Physics Laboratory,Theory,Theory,88435/dsp01rn301446q,3379,1,
NA,Princeton Plasma Physics Laboratory,Plasma Science & Technology,88435/dsp01x920g025r,1422,24,
NA,Princeton Plasma Physics Laboratory,Theory and Computation,88435/dsp015425kd34n,2266,19,
NA,Astrophysical Sciences,Research Data Sets,88435/dsp01ff365529x,261,15,
NA,Chemical and Biological Engineering,Research Data Sets,88435/dsp01df65vb76j,3346,4,
NA,Chemistry,Research Data Sets,88435/dsp01th83m2280,3366,2,
NA,Civil and Environmental Engineering,CEE Research Data Sets,88435/dsp018049g519d,702,12,
NA,Computational Social Science,Research Data Sets,88435/dsp011831cp032,3384,0,
NA,Department of Geosciences,Research Data Sets,88435/dsp01xk81jn606,981,14,
NA,Digital Humanities,Research Data Sets,88435/dsp014x51hm942,3347,8,
NA,Economics,Research Data Sets,88435/dsp01cj82kb34p,3371,0,
NA,Electrical Engineering,EE Research Data Sets,88435/dsp01dr26z125s,3066,0,
NA,Geophysical Fluid Dynamics Laboratory,Research Data Sets,88435/dsp017h149s77w,3206,2,
NA,Lewis-Sigler Institute for Integrative Genomics,Research Data Sets,88435/dsp0105741v361,2286,3,
NA,Mechanical and Aerospace Engineering,MAE Research Data Sets,88435/dsp01br86b597x,1526,10,
NA,Molecular Biology,Research DataSets,88435/dsp01t148fk99d,3026,1,
NA,Physics,Physics Research Data Sets,88435/dsp01v979v5989,3326,0,
NA,Princeton Neuroscience Institute,Research Data Sets,88435/dsp010g354h44r,1061,27,
NA,Princeton School of Public and International Affairs,C-PREE Research Data Sets,88435/dsp01000002903,3106,5,
NA,Princeton University Library,Research Data,88435/dsp01zw12z7787,1846,2,
NA,Sociology,Research Data Sets,88435/dsp013j333532h,3372,0,
NA,Music and Arts,bitKlavier,88435/dsp01rj430764j,3387,1
