parent_community,community,collection_name,title,handle,DataSpace URL,Existing DOI before migration,migrator,acceptor,osti priority,redescribed,pdc describe URL,notes,status
,,,,,,,,,,,,,
Migration Fixtures (do these first),,,,,,,,,,,,,
Princeton Plasma Physics Laboratory,Advanced Projects,Stellarators,Initial operation and data processing on a system for real-time evaluation of Thomson scattering signals on the Large Helical Device,88435/dsp014t64gr25v,https://dataspace.princeton.edu/handle/88435/dsp014t64gr25v,https://doi.org/10.11578/1814942,connell,bess,,yes,https://pdc-describe-prod.princeton.edu/describe/works/51,,Published
Princeton Plasma Physics Laboratory,Plasma Science & Technology,,"Source data for ""Observation of Axisymmetric Standard Magnetorotational Instability in the Laboratory""",88435/dsp018623j1954,https://dataspace.princeton.edu/handle/88435/dsp018623j1954,https://doi.org/10.11578/1888278,bess,bess,,yes,https://pdc-describe-prod.princeton.edu/describe/works/48,,Published
Princeton Plasma Physics Laboratory,Plasma Science & Technology,,Identification of a non-axisymmetric mode in laboratory experiments searching for standard magnetorotational instability,88435/dsp01sx61dq46q,https://dataspace.princeton.edu/handle/88435/dsp01sx61dq46q,https://doi.org/10.11578/1888269,chun,erin,,yes,https://pdc-describe-prod.princeton.edu/describe/works/66,,Published
Princeton Plasma Physics Laboratory,Theory and Computation,,Effects of collisional ion orbit loss on tokamak radial electric field and toroidal rotation in an L-mode plasma,88435/dsp01r494vp42z,https://dataspace.princeton.edu/handle/88435/dsp01r494vp42z,No dataset DOI,chun,erin,yes,yes,https://pdc-describe-prod.princeton.edu/describe/works/65,,Published
Princeton Plasma Physics Laboratory,Plasma Science & Technology,,Lower Hybrid Drift Waves During Guide Field Reconnection,88435/dsp0112579w37b,https://dataspace.princeton.edu/handle/88435/dsp0112579w37b,https://doi.org/10.11578/1814938,bess,erin,,yes,45,,Published
Princeton Plasma Physics Laboratory,Plasma Science & Technology,,"Data for ""The value of fusion energy to a decarbonized United States electric grid""",88435/dsp012j62s808w,https://dataspace.princeton.edu/handle/88435/dsp012j62s808w,https://doi.org/10.34770/f8em-3c49,chun,chun,,yes,https://pdc-describe-prod.princeton.edu/describe/works/64,,Published
Princeton Plasma Physics Laboratory,Plasma Science & Technology,,A dynamic magnetic tension force as the cause of failed solar eruptions,88435/dsp01j3860933c,https://dataspace.princeton.edu/handle/88435/dsp01j3860933c,https://doi.org/10.11578/1366453,connell,,,Yes,https://pdc-describe-prod.princeton.edu/describe/works/40,,Published
Princeton Plasma Physics Laboratory,Theory,Theory,Electromagnetic total-f algorithm for gyrokinetic particle-in-cell simulations of boundary plasma in XGC,88435/dsp01zw12z8539,https://dataspace.princeton.edu/handle/88435/dsp01zw12z8539,No dataset DOI,Erin,chun,yes,,41,,Awaiting approval
Princeton Plasma Physics Laboratory,Advanced Projects,Stellarators,Design of an arrangement of cubic magnets for a quasi-axisymmetric stellarator experiment,88435/dsp01x059cb547,https://dataspace.princeton.edu/handle/88435/dsp01x059cb547,https://doi.org/10.11578/1888258,Tyler,Bess,,yes,39,,Published
Princeton Neuroscience Institute,Research Data Sets,,Sleep spindle refractoriness segregates periods of memory reactivation,88435/dsp011z40kw63j,https://dataspace.princeton.edu/handle/88435/dsp011z40kw63j,,connell,,,,,,
Princeton University Library,Research Data,,Sowing the Seeds for More Usable Web Archives:  A Usability Study of Archive-It,88435/dsp01d791sj97j,https://dataspace.princeton.edu/handle/88435/dsp01d791sj97j,,"sarah, neggin, halle",,,,,,Awaiting redescription
Geophysical Fluid Dynamics Laboratory,Research Data Sets,,Data from a flume experiment of passive scalar diffusion within vegetation canopies using laser-induced fluorescence,88435/dsp01qj72pb044,https://dataspace.princeton.edu/handle/88435/dsp01qj72pb044,,,,,,,,Awaiting redescription
Department of Geosciences,Research Data Sets,,Femtosecond X-ray Diffraction of Laser-shocked Forsterite (Mg2SiO4) to 122 GPa,88435/dsp01rj4307478,https://dataspace.princeton.edu/handle/88435/dsp01rj4307478,,,,,,,,Awaiting redescription
Lewis-Sigler Institute for Integrative Genomics,Research Data Sets,,Distinct cytoskeletal proteins define zones of enhanced cell wall synthesis in Helicobacter pylori,88435/dsp01h415pd457,https://dataspace.princeton.edu/handle/88435/dsp01h415pd457,,,,,,,,Awaiting redescription
Molecular Biology,Research DataSets,,CKavity Library: Next-Generation Sequencing,88435/dsp015999n626m,https://dataspace.princeton.edu/handle/88435/dsp015999n626m,,,,,,,,Awaiting redescription
Music and Arts,bitKlavier,,bitKlavier Grand Sample Library—Piano Bar Mic Image,88435/dsp015999n653h,https://dataspace.princeton.edu/handle/88435/dsp015999n653h,,bess,bess,,,,,
Music and Arts,bitKlavier,,bitKlavier Grand Sample Library—Binaural Mic Image,88435/dsp01nv9356017,https://dataspace.princeton.edu/handle/88435/dsp01nv9356017,,,,,,,,Awaiting redescription
Geophysical Fluid Dynamics Laboratory,Research Data Sets,,"Supporting data for Baldwin et al 2019 ""Temporally Compound Heat Waves and Global Warming: An Emerging Hazard""",88435/dsp01bz60d033c,https://dataspace.princeton.edu/handle/88435/dsp01bz60d033c,,,,,,,,Awaiting redescription
Princeton Neuroscience Institute,Research Data Sets,,Attention and awareness in the dorsal attention network,88435/dsp01xp68kk27p,https://dataspace.princeton.edu/handle/88435/dsp01xp68kk27p,,,,,,,,Awaiting redescription
,,,,,,,,,,,,,
Princeton Plasma Physics Laboratory,Advanced Projects,Other Projects,Hyperdiffusion of dust particles in a turbulent tokamak plasma,88435/dsp01db78tg111,https://dataspace.princeton.edu/handle/88435/dsp01db78tg111,https://doi.org/10.11578/1814957,Erin,Chun,,yes,67,,Awaiting approval
Princeton Plasma Physics Laboratory,Advanced Projects,Stellarators,Geometric concepts for stellarator permanent magnet arrays,88435/dsp01db78tg01d,https://dataspace.princeton.edu/handle/88435/dsp01db78tg01d,https://doi.org/10.11578/1661172,Tyler,Erin,,yes,https://pdc-describe-prod.princeton.edu/describe/works/57,"This record has a text citation, which the software as of v0.81.0 can't handle.",Published
Princeton Plasma Physics Laboratory,Advanced Projects,Stellarators,First impurity powder injection experiments in LHD,88435/dsp01sx61dq35f,https://dataspace.princeton.edu/handle/88435/dsp01sx61dq35f,https://doi.org/10.11578/1814939,Tyler,Erin,,yes,58,,Published
